part,condition,model,acc_mean,acc_std,ece_mean,lat_mean,depth,n_seeds
corr,frost_s5,undefended,0.5033333333333333,0.037859388972001834,0.35434636423985166,0.0008523718516031901,,3
corr,frost_s5,undefended_vgg,0.6033333333333334,0.04618802153517005,0.34323319405317304,0.004685097535451253,,3
corr,gaussian_noise_s3,cardnet,0.55,,0.3930083812773228,1.0639789700508118,150.0,1
corr,gaussian_noise_s3,pgd_at,0.59,,0.18005296722054484,0.001737349033355713,,1
corr,gaussian_noise_s3,rand_smooth,0.54,,0.13450392335653305,0.02446827173233032,,1
corr,gaussian_noise_s3,trades,0.44,,0.1816527430713177,0.0009681534767150879,,1
corr,gaussian_noise_s3,undefended,0.11,,0.7651942491531372,0.001296241283416748,,1
corr,gaussian_noise_s3,undefended_vgg,0.11,,0.8166365289688109,0.005154318809509277,,1
corr,gaussian_noise_s5,cardnet,0.4266666666666667,0.015275252316519473,0.31786223414043585,0.99830175558726,150.0,3
corr,gaussian_noise_s5,pgd_at,0.35000000000000003,0.034641016151377546,0.10807132735848428,0.0017146372795104978,,3
corr,gaussian_noise_s5,rand_smooth,0.38999999999999996,0.039999999999999994,0.09686808357636134,0.024979632695515952,,3
corr,gaussian_noise_s5,trades,0.4033333333333333,0.07094598884597585,0.16763815651337308,0.0010808976491292319,,3
corr,gaussian_noise_s5,undefended,0.11666666666666665,0.015275252316519465,0.6640309425195058,0.001253654956817627,,3
corr,gaussian_noise_s5,undefended_vgg,0.11333333333333333,0.020816659994661334,0.7221362018585206,0.005119207700093587,,3
corr,glass_blur_s3,cardnet,0.37,,0.22997895896434783,1.020798237323761,148.6199951171875,1
corr,glass_blur_s3,pgd_at,0.35,,0.10368129640817643,0.0015497374534606933,,1
corr,glass_blur_s3,rand_smooth,0.34,,0.07829850226640701,0.029745528697967528,,1
corr,glass_blur_s3,trades,0.32,,0.07111812695860863,0.0011461901664733887,,1
corr,glass_blur_s3,undefended,0.1,,0.643334932923317,0.0009749794006347657,,1
corr,glass_blur_s3,undefended_vgg,0.15,,0.6392379820346832,0.00425900936126709,,1
corr,glass_blur_s5,cardnet,0.26,0.06999999999999999,0.12070808969438078,0.9843786064783732,143.98333231608072,3
corr,glass_blur_s5,pgd_at,0.26666666666666666,0.06658328118479392,0.10001432508230211,0.0013798650105794272,,3
corr,glass_blur_s5,rand_smooth,0.24666666666666667,0.04163331998932267,0.13293327748775483,0.022747124830881756,,3
corr,glass_blur_s5,trades,0.2833333333333334,0.015275252316519468,0.07747682000199953,0.0009115004539489746,,3
corr,glass_blur_s5,undefended,0.14,0.039999999999999994,0.4914028030633926,0.0008805894851684571,,3
corr,glass_blur_s5,undefended_vgg,0.18000000000000002,0.03,0.35551086112856867,0.003961618741353353,,3
corr,impulse_noise_s3,cardnet,0.54,,0.3841409397125245,1.0338013005256652,148.5,1
corr,impulse_noise_s3,pgd_at,0.59,,0.1715493892133236,0.001560983657836914,,1
corr,impulse_noise_s3,rand_smooth,0.55,,0.1706190599501133,0.02224360704421997,,1
