seed,condition,model,auroc,fpr95
1,pgd10_2,undefended_vgg,0.47425347566604614,1.0
1,pgd10_2,pgd_at,0.5403819680213928,0.9416666626930237
1,pgd10_2,trades,0.5132118463516235,0.9458333253860474
1,pgd10_2,rand_smooth,0.5160590410232544,0.9375
1,pgd10_2,cardnet,0.5086805820465088,1.0
1,pgd10_4,undefended,0.05383680760860443,1.0
1,pgd10_4,undefended_vgg,0.20678818225860596,1.0
1,pgd10_4,pgd_at,0.5727951526641846,0.9375
1,pgd10_4,trades,0.5219618082046509,0.9333333373069763
1,pgd10_4,rand_smooth,0.530468761920929,0.9125000238418579
1,pgd10_4,cardnet,0.5309374928474426,1.0
1,pgd10_8,undefended,0.042690977454185486,1.0
1,pgd10_8,undefended_vgg,0.0525173619389534,1.0
1,pgd10_8,pgd_at,0.5838888883590698,0.887499988079071
1,pgd10_8,trades,0.5363020896911621,0.9375
1,pgd10_8,rand_smooth,0.5376041531562805,0.8958333134651184
1,pgd10_8,cardnet,0.6101909875869751,0.9458333253860474
1,pgd10_8,abl_no_purify,0.6365971565246582,0.9166666865348816
1,pgd10_8,abl_no_detect,0.5297915935516357,0.9208333492279053
1,pgd10_8,abl_no_smooth,0.6365971565246582,0.9166666865348816
1,pgd10_8,abl_no_fusion,0.6365971565246582,0.9166666865348816
1,pgd10_8,abl_single_teacher,0.6368229389190674,0.887499988079071
1,pgd40_8,undefended,0.04027778282761574,1.0
1,pgd40_8,undefended_vgg,0.006232637446373701,1.0
1,pgd40_8,pgd_at,0.5781770944595337,0.887499988079071
1,pgd40_8,trades,0.5358680486679077,0.9375
1,pgd40_8,rand_smooth,0.5260590314865112,0.8958333134651184
1,pgd40_8,cardnet,0.6282639503479004,0.9458333253860474
1,cw,undefended,0.7576000094413757,0.6399999856948853
1,cw,undefended_vgg,0.9091000556945801,0.25999999046325684
1,cw,pgd_at,0.5579000115394592,0.9599999785423279
1,cw,trades,0.5019000172615051,0.9599999785423279
1,cw,rand_smooth,0.523300051689148,0.9399999976158142
1,cw,cardnet,0.5724000334739685,0.6899999976158142
2,fgsm_2,undefended,0.725243091583252,0.8041666746139526
2,fgsm_2,undefended_vgg,0.7130728960037231,0.8416666388511658
2,fgsm_2,pgd_at,0.5309374928474426,0.9333333373069763
2,fgsm_2,trades,0.5133854150772095,0.9458333253860474
2,fgsm_2,rand_smooth,0.5296180248260498,0.9458333253860474
2,fgsm_2,cardnet,0.503576397895813,1.0
2,fgsm_4,undefended,0.7248263359069824,0.8291666507720947
2,fgsm_4,undefended_vgg,0.7163714170455933,0.9166666865348816
2,fgsm_4,pgd_at,0.5584200620651245,0.9083333611488342
2,fgsm_4,trades,0.5224826335906982,0.9333333373069763
2,fgsm_4,rand_smooth,0.5456076264381409,0.9208333492279053
2,fgsm_4,cardnet,0.5372569561004639,1.0
2,fgsm_8,undefended,0.7848610877990723,0.7208333611488342
2,fgsm_8,undefended_vgg,0.749427080154419,0.887499988079071
2,fgsm_8,pgd_at,0.5948437452316284,0.8541666865348816
2,fgsm_8,trades,0.5302430391311646,0.9291666746139526
2,fgsm_8,rand_smooth,0.5689930319786072,0.8958333134651184
2,fgsm_8,cardnet,0.6436284780502319,0.9333333373069763
2,pgd10_2,undefended,0.17600692808628082,0.9958333373069763
2,pgd10_2,undefended_vgg,0.4574131965637207,1.0
2,pgd10_2,pgd_at,0.530798614025116,0.9333333373069763
2,pgd10_2,trades,0.5132117867469788,0.9458333253860474
2,pgd10_2,rand_smooth,0.5271353721618652,0.9416666626930237
2,pgd10_2,cardnet,0.5024479031562805,1.0
2,pgd10_4,undefended,0.04894097521901131,1.0
2,pgd10_4,undefended_vgg,0.18628472089767456,1.0
2,pgd10_4,pgd_at,0.5574826002120972,0.9083333611488342
2,pgd10_4,trades,0.5218229293823242,0.9333333373069763
2,pgd10_4,rand_smooth,0.5415972471237183,0.9166666865348816
2,pgd10_4,cardnet,0.5259548425674438,1.0
2,pgd10_8,undefended,0.025173595175147057,1.0
