seed,condition,model,n,accuracy,ece,latency_s,mean_conf,part,mean_depth,p_accept,p_defer,p_flag,eot,bpda
1,elastic_transform_s5,pgd_at,100,0.33,0.10884737610816955,0.0013678407669067384,0.3135067820549011,corr,,,,,,
1,elastic_transform_s5,trades,100,0.36,0.11194028675556182,0.0008585143089294433,0.2506977617740631,corr,,,,,,
1,elastic_transform_s5,rand_smooth,100,0.31,0.08988269552588464,0.02113112211227417,0.32020899653434753,corr,,,,,,
1,elastic_transform_s5,cardnet,100,0.35,0.20230449371039863,0.9119856667518615,0.14769549667835236,corr,145.13999938964844,0.46,0.42,0.12,,
1,pixelate_s5,undefended,100,0.2,0.6693141016364097,0.0008963871002197265,0.8453766107559204,corr,,,,,,
1,pixelate_s5,undefended_vgg,100,0.32,0.6029331940412521,0.004260172843933105,0.9229331016540527,corr,,,,,,
1,pixelate_s5,pgd_at,100,0.49,0.17208057150244713,0.0014335489273071289,0.3360987901687622,corr,,,,,,
1,pixelate_s5,trades,100,0.38,0.12988854423165322,0.0008880710601806641,0.2525433897972107,corr,,,,,,
1,pixelate_s5,rand_smooth,100,0.44,0.16396569535136224,0.0231424617767334,0.32297709584236145,corr,,,,,,
1,pixelate_s5,cardnet,100,0.47,0.3218618866801262,0.9215443634986877,0.1481381058692932,corr,147.02999877929688,0.37,0.54,0.09,,
1,jpeg_compression_s5,undefended,100,0.32,0.5022320023179054,0.001062619686126709,0.8222320079803467,corr,,,,,,
1,jpeg_compression_s5,undefended_vgg,100,0.4,0.5311569035053253,0.0044171524047851565,0.9227369427680969,corr,,,,,,
1,jpeg_compression_s5,pgd_at,100,0.67,0.24918940529227257,0.0016350531578063964,0.4208105802536011,corr,,,,,,
1,jpeg_compression_s5,trades,100,0.43,0.17829906433820725,0.0008902764320373536,0.25886303186416626,corr,,,,,,
1,jpeg_compression_s5,rand_smooth,100,0.62,0.23477984532713891,0.02412123680114746,0.38522014021873474,corr,,,,,,
1,jpeg_compression_s5,cardnet,100,0.57,0.40551712863147266,0.8265109133720397,0.16448287665843964,corr,137.72000122070312,0.56,0.35,0.09,,
0,gaussian_noise_s3,undefended,100,0.11,0.7651942491531372,0.001296241283416748,0.875194251537323,corr,,,,,,
0,gaussian_noise_s3,undefended_vgg,100,0.11,0.8166365289688109,0.005154318809509277,0.9266365766525269,corr,,,,,,
0,gaussian_noise_s3,pgd_at,100,0.59,0.18005296722054484,0.001737349033355713,0.4453824758529663,corr,,,,,,
0,gaussian_noise_s3,trades,100,0.44,0.1816527430713177,0.0009681534767150879,0.2694661319255829,corr,,,,,,
0,gaussian_noise_s3,rand_smooth,100,0.54,0.13450392335653305,0.02446827173233032,0.40549609065055847,corr,,,,,,
0,gaussian_noise_s3,cardnet,100,0.55,0.3930083812773228,1.0639789700508118,0.1569916158914566,corr,150.0,0.5,0.3,0.2,,
0,gaussian_noise_s5,undefended,100,0.1,0.6682224103808402,0.0011891508102416992,0.768222451210022,corr,,,,,,
0,gaussian_noise_s5,undefended_vgg,100,0.12,0.7133966517448426,0.004744751453399658,0.8333966135978699,corr,,,,,,
0,gaussian_noise_s5,pgd_at,100,0.33,0.15265608057379726,0.0017906880378723144,0.35265687108039856,corr,,,,,,
0,gaussian_noise_s5,trades,100,0.39,0.1501964217424393,0.00104736328125,0.2448478490114212,corr,,,,,,
0,gaussian_noise_s5,rand_smooth,100,0.39,0.09058101475238801,0.027418830394744874,0.3662899434566498,corr,,,,,,
0,gaussian_noise_s5,cardnet,100,0.41,0.30091142863035203,1.0229968881607057,0.10908856987953186,corr,150.0,0.0,0.03,0.97,,
0,shot_noise_s3,undefended,100,0.13,0.7308959075808525,0.0010818004608154296,0.8608959317207336,corr,,,,,,
0,shot_noise_s3,undefended_vgg,100,0.14,0.7617586314678193,0.004632668495178223,0.9017585515975952,corr,,,,,,
0,shot_noise_s3,pgd_at,100,0.56,0.15835680454969409,0.0016310620307922363,0.4254243075847626,corr,,,,,,
